year,transistors,max_clock,clock,tdp,vdd_high,vdd_low
2008.0,291.0,1830.0,1830.0,35.0,1.175,1.075
2008.0,731.0,2930.0,2660.0,130.0,1.375,0.8
2008.0,291.0,1730.0,1730.0,35.0,1.175,1.075
2008.0,463.0,2000.0,2000.0,65.0,1.125,1.075
2008.0,105.0,1600.0,1600.0,65.0,1.5,0.85
2008.0,105.0,2400.0,2400.0,65.0,1.5,0.85
2008.0,820.0,3200.0,3200.0,136.0,1.3625,0.85
2008.0,820.0,2530.0,2530.0,45.0,1.175,1.05
2008.0,456.0,2500.0,2500.0,95.0,1.3625,0.85
2008.0,820.0,3000.0,3000.0,95.0,1.3625,0.85
2008.0,410.0,2000.0,2000.0,25.0,1.25,1.0
2008.0,820.0,2260.0,2260.0,45.0,1.175,1.05
2008.0,410.0,2000.0,2000.0,25.0,1.15,1.062
2008.0,820.0,2830.0,2830.0,95.0,1.3625,0.85
2008.0,410.0,2400.0,2400.0,25.0,,
